Ticker,Date,Open,High,Low,Close,Volume
GOOG,13-Apr-15,538.41,544.06,537.31,539.17,1640809
GOOG,10-Apr-15,542.29,542.29,537.31,540.01,1405574
GOOG,9-Apr-15,541.03,541.95,535.49,540.78,1553586
GOOG,8-Apr-15,538.38,543.85,538.38,541.61,1175332
GOOG,7-Apr-15,538.08,542.69,536.00,537.02,1299298
GOOG,6-Apr-15,532.22,538.41,529.57,536.76,1320767
GOOG,2-Apr-15,540.85,540.85,533.85,535.53,1711737
GOOG,1-Apr-15,548.60,551.14,539.50,542.56,1957718
GOOG,31-Mar-15,550.00,554.71,546.72,548.00,1583677
GOOG,30-Mar-15,551.62,553.47,548.17,552.03,1283958
GOOG,27-Mar-15,553.00,555.28,548.13,548.34,1892323
GOOG,26-Mar-15,557.59,558.90,550.65,555.17,1568331
GOOG,25-Mar-15,570.50,572.26,558.74,558.78,2146384
GOOG,24-Mar-15,562.56,574.59,561.21,570.19,2576234
GOOG,23-Mar-15,560.43,562.36,555.83,558.81,1639306
GOOG,20-Mar-15,561.65,561.72,559.05,560.36,2609690
GOOG,19-Mar-15,559.39,560.80,556.14,557.99,1194049
GOOG,18-Mar-15,552.50,559.78,547.00,559.50,2128714
GOOG,17-Mar-15,551.71,553.80,548.00,550.84,1800570
GOOG,16-Mar-15,550.95,556.85,546.00,554.51,1636493
GOOG,13-Mar-15,553.50,558.40,544.22,547.32,1698872
GOOG,12-Mar-15,553.51,556.37,550.46,555.51,1385772
GOOG,11-Mar-15,555.14,558.14,550.68,551.18,1815763
GOOG,10-Mar-15,564.25,564.85,554.73,555.01,1787357
GOOG,9-Mar-15,566.86,570.27,563.54,568.85,1059336
GOOG,6-Mar-15,574.88,576.68,566.76,567.68,1654561
GOOG,5-Mar-15,575.02,577.91,573.41,575.33,1385818
GOOG,4-Mar-15,571.87,577.11,568.01,573.37,1871694
GOOG,3-Mar-15,570.45,575.39,566.52,573.64,1700084
GOOG,2-Mar-15,560.53,572.15,558.75,571.34,2123796
GOOG,27-Feb-15,554.24,564.71,552.90,558.40,2403553
GOOG,26-Feb-15,543.21,556.14,541.50,555.48,2305219
GOOG,25-Feb-15,535.90,546.22,535.44,543.87,1821041
GOOG,24-Feb-15,530.00,536.79,528.25,536.09,1002393
GOOG,23-Feb-15,536.05,536.44,529.41,531.91,1453907
GOOG,20-Feb-15,543.13,543.75,535.80,538.95,1441212
GOOG,19-Feb-15,538.04,543.11,538.01,542.87,987478
GOOG,18-Feb-15,541.40,545.49,537.51,539.70,1449089
GOOG,17-Feb-15,546.83,550.00,541.09,542.84,1612439
GOOG,13-Feb-15,543.35,549.91,543.13,549.01,1895126
GOOG,12-Feb-15,537.25,544.82,534.67,542.93,1615824
GOOG,11-Feb-15,535.30,538.45,533.38,535.97,1373970
GOOG,10-Feb-15,529.30,537.70,526.92,536.94,1745076
GOOG,9-Feb-15,528.00,532.00,526.02,527.83,1264276
GOOG,6-Feb-15,527.64,537.20,526.41,531.00,1758650
GOOG,5-Feb-15,523.79,528.50,522.09,527.58,1844687
GOOG,4-Feb-15,529.24,532.67,521.27,522.76,1659125
GOOG,3-Feb-15,528.00,533.40,523.26,529.24,2033085
GOOG,2-Feb-15,531.73,533.00,518.55,528.48,2841976
GOOG,30-Jan-15,515.86,539.87,515.52,534.52,5590977
GOOG,29-Jan-15,511.00,511.09,501.20,510.66,4174924
GOOG,28-Jan-15,522.78,522.99,510.00,510.00,1679230
GOOG,27-Jan-15,529.97,530.70,518.19,518.63,1898844
GOOG,26-Jan-15,538.53,539.00,529.67,535.21,1539524
GOOG,23-Jan-15,535.59,542.17,533.00,539.95,2275485
GOOG,22-Jan-15,521.48,536.33,519.70,534.39,2669558
GOOG,21-Jan-15,507.25,519.28,506.20,518.04,2262455
GOOG,20-Jan-15,511.00,512.50,506.02,506.90,2225922
GOOG,16-Jan-15,500.01,508.19,500.00,508.08,2292043
GOOG,15-Jan-15,505.57,505.68,497.76,501.79,2711355
GOOG,14-Jan-15,494.65,503.23,493.00,500.87,2229638
GOOG,13-Jan-15,498.84,502.98,492.39,496.18,2365687
GOOG,12-Jan-15,494.94,495.98,487.56,492.55,2320446
GOOG,9-Jan-15,504.76,504.92,494.79,496.17,2065715
GOOG,8-Jan-15,497.99,503.48,491.00,502.68,3344395
GOOG,7-Jan-15,507.00,507.24,499.65,501.10,2059366
GOOG,6-Jan-15,515.00,516.18,501.05,501.96,2891950
GOOG,5-Jan-15,523.26,524.33,513.06,513.87,2054238
GOOG,2-Jan-15,529.01,531.27,524.10,524.81,1446662
GOOG,31-Dec-14,531.25,532.60,525.80,526.40,1371819
GOOG,30-Dec-14,528.09,531.15,527.13,530.42,873923
GOOG,29-Dec-14,532.19,535.48,530.01,530.33,2276104
GOOG,26-Dec-14,528.77,534.25,527.31,534.03,1037727
GOOG,24-Dec-14,530.51,531.76,527.02,528.77,704035
GOOG,23-Dec-14,527.00,534.56,526.29,530.59,2191567
GOOG,22-Dec-14,516.08,526.46,516.08,524.87,2723599
GOOG,19-Dec-14,511.51,517.72,506.91,516.35,3680148
GOOG,18-Dec-14,512.95,513.87,504.70,511.10,2918730
GOOG,17-Dec-14,497.00,507.00,496.81,504.89,2875281
GOOG,16-Dec-14,511.56,513.05,489.00,495.39,3953371
GOOG,15-Dec-14,522.74,523.10,513.27,513.80,2812786
GOOG,12-Dec-14,523.51,528.50,518.66,518.66,1989117
GOOG,11-Dec-14,527.80,533.92,527.10,528.34,1610964
GOOG,10-Dec-14,533.08,536.33,525.56,526.06,1716835
GOOG,9-Dec-14,522.14,534.19,520.50,533.37,1871268
GOOG,8-Dec-14,527.13,531.00,523.79,526.98,2327127
GOOG,5-Dec-14,531.00,532.89,524.28,525.26,2558649
GOOG,4-Dec-14,531.16,537.34,528.59,537.31,1392208
GOOG,3-Dec-14,531.44,536.00,529.26,531.32,1279288
GOOG,2-Dec-14,533.51,535.50,529.80,533.75,1522481
GOOG,1-Dec-14,538.90,541.41,531.86,533.80,2109599
GOOG,28-Nov-14,540.62,542.00,536.60,541.83,1145231
GOOG,26-Nov-14,540.88,541.55,537.04,540.37,1519503
GOOG,25-Nov-14,539.00,543.98,538.60,541.08,1784967
GOOG,24-Nov-14,537.65,542.70,535.62,539.27,1701682
GOOG,21-Nov-14,541.61,542.14,536.56,537.50,2218249
GOOG,20-Nov-14,531.25,535.11,531.08,534.83,1559131
GOOG,19-Nov-14,535.00,538.24,530.08,536.99,1388440
GOOG,18-Nov-14,537.50,541.94,534.17,535.03,1957664
GOOG,17-Nov-14,543.58,543.79,534.06,536.51,1721282
GOOG,14-Nov-14,546.68,546.68,542.15,544.40,1285991
GOOG,13-Nov-14,549.80,549.80,543.48,545.38,1335719
GOOG,12-Nov-14,550.39,550.46,545.17,547.31,1126594
GOOG,11-Nov-14,548.49,551.94,546.30,550.29,964866
GOOG,10-Nov-14,541.46,549.59,541.02,547.49,1131546
GOOG,7-Nov-14,546.21,546.21,538.67,541.01,1629259
GOOG,6-Nov-14,545.50,546.88,540.97,542.04,1329604
GOOG,5-Nov-14,556.80,556.80,544.05,545.92,2026740
GOOG,4-Nov-14,553.00,555.50,549.30,554.11,1240761
